Omschrijving,Kleur,NFC-Waarde,Fashion-Waarde,Technische-Waarde,Culturele-Waarde,Politieke-Waarde,Economische-Waarde;
Human and machine (technology) fuse together. Technology retreats into the background and we can even see the first signs of wearable technology moving to clothing (on our body) and that it will eventually disappear into our body. Maybe in the future we can take a picture by a blink in an eye.,Red,45,4,4,2,4,4;
When your religion becomes a controversial subject which the consequences will effect generations to come.,Green,45,5,3,5,4,3;
Social media and the real world go hand in hand to create the perfect experience,Red,50,3,4,4,4,3;
"Here you see augmented reality with the app Pokemon Go. It is a new way of gaming. Instead of looking at a screen at home, you have to go outside (with your screen) to play the game. You can see the game virtually through your screen, but in the ""real world"". By the way Akke is posing with Squirtle and I catched him! (Not Akke, but Squirtle).,Red,50,4,3,2,3,1";
Consumers will increasingly ‘shop’ with their profiles in the future.,Red,45,4,4,2,4,4;
contra digital. We let the nature take control.,Red,52,5,3,5,2,1;
with posting pictures on instagram you can influence many people around you, so you can put it under everybody influencer. but you also can put it under privacy, because it is about lingerie and posting pictures about it. and with all the posting via instagram you could say there is a sign of big data, because many people share their pictures with everybody and didn't put their account on 'just friends' -> this is how we see the real world : with instagram pictures,Blue,52,5,4,4,1,1;
The way we pay and how we can be followed in our purcases,Yellow,45,5,5,5,1,1;
This board gives the inhabitants real time information,Red,50,3,4,4,4,3;
A SCIENCE-FICTION GAME SET IN AN INFINITE PROCEDURALLY GENERATED GALAXY,Red,64,2,5,2,1,1;
Echo of baby, The data of the baby and mother's health is recorded with the technology. It is also now possible to find complications in an early stage so parent can make a choice to keep a baby or not which can be born with for example : a handicap,Red,56,5,4,5,2,3;
shift from bike, to motorcycle/ scooter,Yellow,45,5,2,5,1,2;
A table made out of old pallets; an economically conscious solution to the need for furniture.,Red,41,4,4,5,2,1
Supporter van Schoon: campaign that is trying to give a good image to throwing your stuff away. Especially at an indoor place, like the Markthal, has a clear message: throw your stuff away and keep it neat in here.,Red,62,4,4,5,2,4;
Dr. Martens painted this footprint in the center of Rotterdam. People walking by will wonder where it is leading to. When you look closer, you will see that it is an advertisement from Dr. Martens.,Red,59,5,5,5,1,2;
A alternative man with tattoos but in contrast with sleek hair. More and more alternative people are showing up in advertisements.,Blue,52,4,3,5,2,2;
DIY culture in food! More and more (soup) packets are being made. People want to make things themselves and they want autenthic, fresh and healthy food.,Blue,52,4,3,5,2,2;
Of course this is privacy and big data because everybody is tracing your travelling and wherabouts. But this is also about the queue in front of the check-in/out pole. The goverment is trying to innovate and maybe earn more money but they are not thinking about the people and how the space will work and look!,Blue,52,4,3,5,2,2;
A pair of computers in the store Pull & Bear. Everyone can upload their own message about Pull&Bear on their feed on Facebook, Twitter etc. They can also take an picture in the photobooth in the same store and share them with their friends. This helps the store with free advertising, combined with the power of data.,Blue,52,5,4,4,1,1;
Make your own Poké Bowl with different ingredients.,Green,45,5,3,5,4,3;
You can choose your favorite music to listen carefully to and eventually buy the new cd. This is a smart marketing idea from this company, which will help them improve their economic situation -> consuments will buy faster and will spread the word amongst their friends,Blue,52,5,4,4,1,1;
,Yellow,45,2,2,4,4,4;
Clothing is not gender related anymore. The gender line is becoming thinner,Green,45,5,3,5,4,3;
Advertising on a new level: stickering and put your message everywhere around town,Blue,52,5,4,4,1,1;
Jeffree Star is a influencer he is a celebrity on Youtube and has his own make-up line that sells out really soon. With Jeffree Star you also have Gigi Gorgeous who is transgender and Drag Race that is getting more popular. The lines between gender is getting thinner but also the rise of celebrity's that are for our knowing strange and transgender, gay ect. is very interesting!,Blue,52,4,3,5,2,2;
expressing herself with flower.,Yellow,45,5,2,5,1,2;
Knitting around lantarns to advertise for your company.,Blue,52,5,4,4,1,1;
Drones are used for al kind of stuff. The privacy with al the cameras onboard is questionable.. did you know amazon is already testing a delivery service?,Red,64,2,5,2,1,1;
Big data will appear in new ways and there will be more information available for people.,Blue,52,5,4,4,1,1;
The desire for a smoke-free generation,Green,45,5,3,5,4,3;
Everybody can join, make a new area with your own signature,Yellow,45,5,2,5,1,2;
Tutorials how you change the your face with make up. #contour #baking,Green,45,5,3,5,4,3;
DIY medication: with a prescription from the doctor you can fast get your mediaction. Your personal information is stored so big data and privacy are important.,Blue,52,5,4,4,1,1;
The water taxis are an extension of human movement. They provide transport over water with a speed the human body could not achieve on its own.,Red,41,4,4,5,2,1;
silent disco,Yellow,45,5,2,5,1,2;
When you're using Instagram and other social platforms to sell your body.,Green,45,5,3,5,4,3;
The interaction between human and machine has now reached a certain phase of maturity. Machines can recognize peoples faces with their personal data.,Red,45,4,4,2,4,4;
People wants to have common thing very special. Seeking originality,Yellow,45,5,2,5,1,2;
This store uses VR to create a new experience for the costumer,Red,50,3,4,4,4,3;
In the future we don't need keys anymore. We can unlock our house, car etc. by just our finger recognition,Red,45,4,4,2,4,4;
You can feel you are in garden even though you're inside the building.,Yellow,45,5,2,5,1,2;
Parents taking over-protective measures of their child, so they can do their own thing while out with him. They take measurements in their own hands, influencing his safety themselves.,Red,41,4,4,5,2,1;
reuse the abandoned building into cafe,Yellow,45,5,2,5,1,2;
Cables are past. In the future we won't see many cables anymore.,Red,45,4,4,2,4,4;
people are communicating in the city and trying te create a form of awareness,Red,50,3,4,4,4,3;
Putting the ad on a bike is an economically efficient way of promoting their service all around town.,Red,41,4,4,5,2,1;
This crossfit centre in Prague is an example of the economy and value trend because of the materials the furniture is made. The bar is made out of pallets instead of buying a more expensive one. It gives the room a more industrial look, is cheap and makes something more valuable if you put personal effort on it. Also crossfit is a trend itself. It's about sharing your archievements of social media and reaching goals in getting fit.,Red,56,5,4,5,2,3;
Fritz-kola. a Self made Kola that became a hit. I had this in a Donner restaurant with fairly new concept. Healthy donner. The sauces are made on a yoghurt basis. and they have Beef donner with has less fat in it that lam.,Red,64,2,5,2,1,1;
A sense of disconnection. After the digitalization we're all still getting used to. Its so nice to just disconnect now and then.,Red,64,2,5,2,1,1;
Just an object that is made out things used to be used before.,Red,45,4,4,2,4,4;
This painting is done by a street artist trying to influence the neighborhood in a positive way,Red,50,3,4,4,4,3;
In the future we are not the smartest thing in the room or building it is the room or building itself.,Red,45,4,4,2,4,4;
No HEADPHONEJACK? Courage? or foolish? Well.. Steve always said Stay hungry, stay foolish.,Red,64,2,5,2,1,1;
"This beam is rotten. To prevent the beam from breaking, they put steel beams next to it. this solution was made when humans saw that the beam was rotten. When the power of data was involved in this case, the problem could have been fixed way earlier. If technology was inside of that beam we would be earlier aware of the flaws of the material.	Climate change can have an indirect influence on the value of properties. floating houses,Red,52,5,3,5,2,1";
An old crate repurposed to carry things on a bike. This also makes it an extension, as it enables the user to transport more things by bike.,Red,41,4,4,5,2,1;
Rooftop useage is getting more commen now a days,Red,64,2,5,2,1,1;
Fries holder, you don't need to carry your fries and use your hands for other things.,Green,45,5,3,5,4,3;
Lumee is a phonecase that helps you to make the perfect selfie.,Green,45,5,3,5,4,3;
We're going vintage. Everything was better back in the days. We're afraid to move forward in the digital era maybe.,Red,52,5,3,5,2,1;
A fan to cool off the people sitting at the tables. It's an extension to make the environment more pleasant. The fact that visitors are able to reach it themselves suggests that they decide whether it's on or off.,Red,41,4,4,5,2,1;
3D graffiti, from one point you can take a picture and post it on your social media.,Green,45,5,3,5,4,3;
Vlogs. Kids watch these video's because they want te be like them, they want to be along. Also it is a way of expression yourself. On-demand, without a parents,Red,45,4,4,2,4,4;
The way how we pay is changing, from money to card to mobile. Its an device we always carry around with us.,Yellow,45,5,5,5,1,1;
Transparant view of the residents of the building. Everyone who walks by can also recognize the etnic residents.,Red,56,5,4,5,2,3;
Using food coloring makes the food look like fake and not natural.,Green,45,5,3,5,4,3;
On the side you can read the history of Rotterdam. The experience of going up changes and gives meaning,Green,45,5,3,5,4,3;
In the last weeks of the summer a new concept of a pop-up bar appeard on the noordplein. The bar was created of old seacontainers and the stuff they use there. Materials did get an second change,Yellow,45,5,5,5,1,1;
Some innovations are made by looking at nature (animals) and their abilities to make stuff easier. Some ways are integrated in technology to extend human boundaries.,Red,56,5,4,5,2,3;
The garage collects data on how many cars are parked, which is then displayed at the entrance. With this data, businesses can anticipate which days are crowded and which aren't.,Red,41,4,4,5,2,1;
Men are putting make-up and providing a new target group for make-up brands. Also women are buying make-up products that are made by male make-up artist.,Green,45,5,3,5,4,3;
Human boundaries are extended with a car and a bike,Red,56,5,4,5,2,3;
(dirty) Old kolen centrale in the middle of blaak, but trees and plants are getting more ground in the city,Red,50,3,4,4,4,3;
We see a shift in consumers when it comes to their mindset. People want te be around nature.,Red,45,4,4,2,4,4;
Paying with your phone,Green,45,5,3,5,4,3;
A cheap way to create an advertisement in the city,Red,50,3,4,4,4,3;
Trapbankie is a leftover from the stairway in Rotterdam center. Fans could buy a trapbankie for 99 euros. A trapbankie is made of two steps. By buying a trapbankie the consumer consumes in a mindful way. The material is reused.,Red,59,5,5,5,1,2;
A boat is an extension of the human body. Without a boat we wouldn't be able to conquer the waters. The flags on the boat represent the people in it. In this way everybody has an influence on the appearing of the boat.,Red,52,5,3,5,2,1;
Self made plant bottles. This is a sign of the DIY revolution and the rising popularity of reusing objects for another purpose.,Red,56,2,4,5,5,4;
This furniture are made out of fruitboxes. A cheap and mobil way to make gardenfurniture.,Red,56,5,4,5,2,3;
Flexworking is becomming more and more popular at bars and public spaces.,Red,56,2,4,5,5,4;
"An ad for the ""Keep it Clean Day 010,"" which speaks to everyone's role in keeping the city clean.,Red,41,4,4,5,2,1";
It was an abandoned field in the front of an restaurant before the residents came up with idea's. now its an kitchen garden. The restaurant is made in an old train,Yellow,45,5,5,5,1,1;
People want to know were their meat is coming from, creating awareness for the costumers,Red,50,3,4,4,4,3;
Sharing food together and using cheap plates, glasses,Red,56,5,4,5,2,3;
An old boat re-used as a catering facility. The boat couldn't do it's original purpose.,Red,56,5,4,5,2,3;
Tattoos and piercings are an extension of the human body. It makes putting foreign objects through/in body parts normal, paving the way for tech to be put in the human body.,Red,41,4,4,5,2,1;
It is more part of the sharing economy because nobody will gain money from it, but they will get the books to read. Because they have to exchange books you could say it is part of everybody influencer, share the information,Blue,52,5,4,4,1,1;
Urban gardening, people are committing to a greener and healthier city centre.,Blue,51,2,4,5,1,1;
Sharing your thoughts and emotion trough technology,Red,56,5,4,5,2,3;
Virtual Reality. This machine helped me to experience the game such more that just only playing with a joystick. It is even better for my body.,Red,45,4,4,2,4,4;
Camera's everywhere, house owners want to see your face before they let you in.,Blue,51,2,4,5,1,1;
Harin is a good example of recycling material. The cut up dress she's wearing wasnt meant to be this way. Because she burnt a hole in it with her sigaret she decided to cut it, because she didn't want to throw it away.,Red,52,5,3,5,2,1;
People love to see the past as good while the moment they live in isn't. This is why they want to go back to the past and adjust their environment just as it was in the past.,Blue,52,5,4,4,1,1;
Emotion can be shared trough technology. not only with picture, but also with bodyheat, vibrations and so on.,Red,56,5,4,5,2,3;
Recycling cardboard, people take the initiative to separate their garbage and contribute to a healthier environment,Blue,51,2,4,5,1,1;
People dye there hair into unnatural colors. We are influenced by media, friends, and so on.,Yellow,45,5,2,5,1,2;
Mineral water with lemon added to it. We buy it instead of soda, it's overarching to the health trend.,Red,62,4,4,5,2,4;
An extension of the sidewalk for people to park their bike. Because of everyone traveling by bicycle, instead of by car, the decision was made to replace two parking spots with bike stands. It's a form of how the public influenced a change in the area.,Red,41,4,4,5,2,1;
Extending our brain by collecting data and information for public transportation everywhere we go.,Blue,51,2,4,5,1,1;
You are being watched & most Dutch people are just okay with it. Says something about the location. Is it not safe over here?,Red,62,4,4,5,2,4;
Everybody can be a DJ.,Red,45,4,4,2,4,4;
This is part of urban gardening, people want to improve their lifestyle and be more healthy. Everybody can contribute,Blue,52,5,4,4,1,1;
electronic car charger can be easily be found since many people using it. Contribute to save the planet!!,Yellow,45,5,2,5,1,2;
The way people think now about food and the healthy lifestyle behind it is changing in the last couple of years. More and more people think it's important to live a healthy lifestyle,Red,56,5,4,5,2,3;
Sharing economy during a BBQ, everybody share's meat, drinks and leftovers with eachother.,Red,56,2,4,5,5,4;
I thought QR-codes were dead, but I see them a lot around Wijnhaven. Maybe some kind of project? They are definetly still useful to someone, otherwise they would not hang there. Good example of augmented reality. I wish I collected them all, so I could tell more about what it means.,Red,62,4,4,5,2,4;
Now days, we take seriously of health and well-being. People get pressured also. New economy field is created and still flourish.,Yellow,45,5,2,5,1,2;
Security camera that breaks peoples privacy but also extends the human body. We can control safety in many places at the same time from just one desk. Because the camera's record data attacks and assaults can easily be traced and re-watched.,Blue,51,2,4,5,1,1;
#hashtag# is influencing marketing, and you cannot ignore it. People seek privacy but wants to be seen and brag about some part. They want to have control of exposure.,Yellow,45,5,2,5,1,2;
A van is an extension of human movement. It enables people to travel faster and to transport extra things. The two vans also show a difference in what people value; the old or the new.,Red,41,4,4,5,2,1
This is a simulated baby used as training equipment on health educations. Different kinds of data is used to train people. This baby can cry, eat, pee, breath and moves his head. These things can be recorded like the heartbeat for training purposes,Red,56,5,4,5,2,3;
Pop-up party. A party from the back of a van. I see this happening more and more often now a days. People who organize a public pop-up party.,Red,56,2,4,5,5,4;
Privacy is important for most people, but the camera breaks the rules for peoples privacy. Cameras record data so it is easy to trace crimes when there has happened something, big data is stored,Blue,52,5,4,4,1,1;
By ordering products online and picking them up in the shop we extend our body over the internet.,Blue,51,2,4,5,1,1;
Healthy lifestyle has so much influence on our economy and our own lifestyles, I think this shop is doing really well right now (economy-wise) because of all these healthy products.,Red,62,4,4,5,2,4;
The woman wearing sunglasses uses a yellow shopping basket from the Bijenkorf as a basket for her groceries. In this way, the shopping baskets from the Bijenkorf are reused in a different context. This photo is about sharing economy and mindful consuming.,Red,59,5,5,5,1,2;
Rooftop gardens is a thing that is becomming popular in big city's.,Red,56,2,4,5,5,4;
Protein bars. Healthy lifestyle & fitness has so much influence on our economy and our own lifestyles, I think this shop is doing really well right now (economy-wise) because of all these healthy products.,Red,62,4,4,5,2,4;
People create or re use stuff in their garden to geef it a more cosy feeling.,Red,56,2,4,5,5,4;
Spreading out messages and advertising by placing covers on people's bike. They keep using the covers so the data spreads and spreads.,Blue,51,2,4,5,1,1;
It looks cool that ceiling is not finished because it can be transformed afterwards and has idea of still seeking for progress.,Yellow,45,5,2,5,1,2;
Since the last few years recycle has gotten bigger in the streets of city's.,Red,56,2,4,5,5,4;
"Yoyo Bubble tea is a recent trend. It started up so well because it has this image of being ""fresh."" People really think it's important to have fresh food & drinks.,Red,62,4,4,5,2,4";
virtual reality laparoscopic simulator which can be used to perform virtual surgery,Red,56,5,4,5,2,3;
The concrete blocks are chairs that are placed in a circulair form that engaged people to talk and discuss their thoughts,Red,50,3,4,4,4,3;
DIY everything. Pick out a piece of furniture, bring it home and build it yourself. Maybe even pimp up the design. Everybody influencer.,Blue,51,2,4,5,1,1;
Smart-product, the sonos is aware of your serounding. Because the product is compleet wireless it know when your home by the smartphone. Music wil be directly available.,Yellow,45,5,5,5,1,1;
People use plastic bags to keep their butt dry when it rains. Studens usualy use plastic bags instead of paper towels to clean their saddles.,Red,56,2,4,5,5,4;
Back to basic is a concept that is getting more and more attentions these last few years. You can relate this trend to the flat design graphic trend.,Red,56,2,4,5,5,4;
This is a photo of a party on the roof, called Dâk. It's an initiative around the Dakdagen. Rotterdam is a popular growing city. There isn't enough space to use, so instead of horizontally expanding, they expand vertically. Because of that, they want to show how roofs can be used and how big city's can keep growing.,Red,50,4,3,2,3,1;
The public transport collects your data and uses it to keep track of your travel behaviour. You can collect 'OV miles' and take part of a reward programme.,Blue,51,2,4,5,1,1;
It's not a new trend but coupons are one simple way of marketing.,Yellow,45,5,2,5,1,2;
We got tracked on the music we listen and get advertised on another artist we might like.,Yellow,45,5,5,5,1,1;
"Advertisement for VR-glasses. It says ""Experience it like you are there!"" (I think it is about some kind of TV show) Instead of just watching the TV show, you can sit there in the audience through your VR-glasses. You don't even need to go there anymore, or turn on your TV, just put on your VR-glasses,Red,62,4,4,5,2,4";
The stores with the same purposes can easily be next to each other, because all the stores eventually will be the same and people are always looking for something new. It could be an opportunity for new companies,Blue,52,5,4,4,1,1;
Small portions food, this way you can taste everything instead of being stuck to the one dish you've ordered.,Red,56,2,4,5,5,4;
Healthy pizza with tuna and salad. the importance of healthy living,Red,56,5,4,5,2,3;
Ivy leaves are extended as trees. It's not even tree but it gives a special mood in the area.,Yellow,45,5,2,5,1,2;
This is the new app of iOS 10. It connects every technique in your home to create domotica. Everything and everyone can communicate to one another.,Red,59,5,5,5,1,2;
The Segways are an extension of the human legs. Instead of walking, the Segway lets people drive around, thus enabling them to travel further distances.,Red,41,4,4,5,2,1;
Even Mac Donalds is feeling the need to be more autenthic, fresh, handicraft and luxurious. There is a movement in food but also in different fields for a more autenthicity and experience.,Blue,52,4,3,5,2,2;
BBQ's are getting more and more popular, as you can see on the picture. It's really crowded but a BBQ in a park can be linked to the blue, sharing economy and everybody influencer because everyone share's their food with strangers.,Red,56,2,4,5,5,4;
